date,symbol,close
2021-01-04,GLD,182.3300018310547
2021-01-04,QQQ,299.78509521484375
2021-01-04,SPY,343.31915283203125
2021-01-04,TLT,133.2233123779297
2021-01-05,GLD,182.8699951171875
2021-01-05,QQQ,302.2565612792969
2021-01-05,SPY,345.6837158203125
2021-01-05,TLT,132.23391723632812
2021-01-06,GLD,179.89999389648438
2021-01-06,QQQ,298.0695495605469
2021-01-06,SPY,347.7503967285156
2021-01-06,TLT,129.51942443847656
2021-01-07,GLD,179.47999572753906
2021-01-07,QQQ,305.2804870605469
2021-01-07,SPY,352.9170837402344
2021-01-07,TLT,128.37779235839844
2021-01-08,GLD,173.33999633789062
2021-01-08,QQQ,309.205810546875
2021-01-08,SPY,354.9278564453125
2021-01-08,TLT,127.96337890625
2021-01-11,GLD,173.0
2021-01-11,QQQ,304.73773193359375
2021-01-11,SPY,352.53533935546875
2021-01-11,TLT,127.75196838378906
2021-01-12,GLD,174.1199951171875
2021-01-12,QQQ,304.253173828125
2021-01-12,SPY,352.6098937988281
2021-01-12,TLT,127.65048217773438
2021-01-13,GLD,173.3699951171875
2021-01-13,QQQ,306.3078918457031
2021-01-13,SPY,353.5594177246094
2021-01-13,TLT,129.088134765625
2021-01-14,GLD,173.27999877929688
2021-01-14,QQQ,304.6698913574219
2021-01-14,SPY,352.3212585449219
2021-01-14,TLT,127.8788070678711
2021-01-15,GLD,171.1300048828125
2021-01-15,QQQ,302.2565612792969
2021-01-15,SPY,349.75189208984375
2021-01-15,TLT,128.3862762451172
2021-01-19,GLD,172.5800018310547
2021-01-19,QQQ,306.66644287109375
2021-01-19,SPY,352.49822998046875
2021-01-19,TLT,128.8005828857422
2021-01-20,GLD,175.38999938964844
2021-01-20,QQQ,313.79986572265625
2021-01-20,SPY,357.3762512207031
2021-01-20,TLT,128.9274139404297
2021-01-21,GLD,175.27999877929688
2021-01-21,QQQ,316.3100891113281
2021-01-21,SPY,357.7020568847656
2021-01-21,TLT,128.02249145507812
2021-01-22,GLD,173.89999389648438
2021-01-22,QQQ,315.3990173339844
2021-01-22,SPY,356.4360046386719
2021-01-22,TLT,128.43701171875
2021-01-25,GLD,174.0500030517578
2021-01-25,QQQ,318.0061340332031
2021-01-25,SPY,357.8416748046875
2021-01-25,TLT,129.95071411132812
2021-01-26,GLD,173.6199951171875
2021-01-26,QQQ,318.47137451171875
2021-01-26,SPY,357.2831115722656
2021-01-26,TLT,129.7054443359375
2021-01-27,GLD,172.52000427246094
2021-01-27,QQQ,309.5934753417969
2021-01-27,SPY,348.5509948730469
2021-01-27,TLT,130.03518676757812
2021-01-28,GLD,172.67999267578125
2021-01-28,QQQ,311.42523193359375
2021-01-28,SPY,351.548583984375
2021-01-28,TLT,129.3164825439453
2021-01-29,GLD,172.61000061035156
2021-01-29,QQQ,304.8733825683594
2021-01-29,SPY,344.5107116699219
2021-01-29,TLT,128.5384063720703
2021-02-01,GLD,174.22999572753906
2021-02-01,QQQ,312.49151611328125
2021-02-01,SPY,350.24530029296875
2021-02-01,TLT,128.68743896484375
2021-02-02,GLD,172.11000061035156
2021-02-02,QQQ,317.5894470214844
2021-02-02,SPY,355.1978454589844
2021-02-02,TLT,127.85775756835938
2021-02-03,GLD,171.85000610351562
2021-02-03,QQQ,316.3294677734375
2021-02-03,SPY,355.4771423339844
2021-02-03,TLT,126.72327423095703
2021-02-04,GLD,168.14999389648438
2021-02-04,QQQ,320.0706481933594
2021-02-04,SPY,359.5174255371094
2021-02-04,TLT,126.38458251953125
2021-02-05,GLD,169.80999755859375
2021-02-05,QQQ,321.1560974121094
2021-02-05,SPY,360.9323425292969
2021-02-05,TLT,125.3262939453125
2021-02-08,GLD,171.52000427246094
2021-02-08,QQQ,323.3077392578125
2021-02-08,SPY,363.5389709472656
2021-02-08,TLT,125.87664031982422
2021-02-09,GLD,172.0800018310547
2021-02-09,QQQ,323.23992919921875
2021-02-09,SPY,363.29693603515625
2021-02-09,TLT,125.9698486328125
2021-02-10,GLD,172.7100067138672
2021-02-10,QQQ,322.5032958984375
2021-02-10,SPY,363.1387023925781
2021-02-10,TLT,126.80789184570312
2021-02-11,GLD,171.2100067138672
2021-02-11,QQQ,324.2769470214844
2021-02-11,SPY,363.7253112792969
2021-02-11,TLT,126.11369323730469
2021-02-12,GLD,170.69000244140625
2021-02-12,QQQ,326.08935546875
2021-02-12,SPY,365.52191162109375
2021-02-12,TLT,124.54745483398438
2021-02-16,GLD,168.24000549316406
2021-02-16,QQQ,325.2073974609375
2021-02-16,SPY,365.20538330078125
2021-02-16,TLT,122.6509780883789
2021-02-17,GLD,166.3300018310547
2021-02-17,QQQ,323.6470031738281
2021-02-17,SPY,365.2891845703125
2021-02-17,TLT,123.42986297607422
2021-02-18,GLD,166.32000732421875
2021-02-18,QQQ,322.2319030761719
2021-02-18,SPY,363.7345886230469
2021-02-18,TLT,122.93038940429688
2021-02-19,GLD,167.00999450683594
2021-02-19,QQQ,320.82659912109375
2021-02-19,SPY,363.0921630859375
2021-02-19,TLT,121.29637908935547
2021-02-22,GLD,169.50999450683594
2021-02-22,QQQ,312.5108642578125
2021-02-22,SPY,360.29937744140625
2021-02-22,TLT,120.37352752685547
2021-02-23,GLD,169.1199951171875
2021-02-23,QQQ,311.58038330078125
2021-02-23,SPY,360.73687744140625
2021-02-23,TLT,120.02645111083984
2021-02-24,GLD,169.0
2021-02-24,QQQ,314.1487731933594
2021-02-24,SPY,364.7119445800781
2021-02-24,TLT,119.23908233642578
2021-02-25,GLD,165.82000732421875
2021-02-25,QQQ,303.1966552734375
2021-02-25,SPY,355.9239196777344
2021-02-25,TLT,117.29183959960938
2021-02-26,GLD,161.80999755859375
2021-02-26,QQQ,304.4664001464844
2021-02-26,SPY,354.0899963378906
2021-02-26,TLT,121.1693344116211
2021-03-01,GLD,161.52999877929688
2021-03-01,QQQ,313.6253662109375
2021-03-01,SPY,362.67327880859375
2021-03-01,TLT,119.56897735595703
2021-03-02,GLD,162.41000366210938
2021-03-02,QQQ,308.5951843261719
2021-03-02,SPY,359.8432312011719
2021-03-02,TLT,119.5774917602539
2021-03-03,GLD,160.6199951171875
2021-03-03,QQQ,299.6396789550781
2021-03-03,SPY,355.0768737792969
2021-03-03,TLT,118.28065490722656
2021-03-04,GLD,159.0399932861328
2021-03-04,QQQ,294.7355041503906
2021-03-04,SPY,350.6828308105469
2021-03-04,TLT,117.51773071289062
2021-03-05,GLD,159.13999938964844
2021-03-05,QQQ,299.1744689941406
2021-03-05,SPY,357.1341857910156
2021-03-05,TLT,117.74653625488281
2021-03-08,GLD,157.49000549316406
2021-03-08,QQQ,290.70361328125
2021-03-08,SPY,355.3561096191406
2021-03-08,TLT,116.83111572265625
2021-03-09,GLD,160.83999633789062
2021-03-09,QQQ,302.1692810058594
2021-03-09,SPY,360.4297180175781
2021-03-09,TLT,118.45011901855469
2021-03-10,GLD,161.66000366210938
2021-03-10,QQQ,301.3067626953125
2021-03-10,SPY,362.67327880859375
2021-03-10,TLT,118.68746185302734
2021-03-11,GLD,161.52000427246094
2021-03-11,QQQ,308.2463684082031
2021-03-11,SPY,366.3504333496094
2021-03-11,TLT,117.83131408691406
2021-03-12,GLD,161.49000549316406
2021-03-12,QQQ,305.7457275390625
2021-03-12,SPY,366.84381103515625
2021-03-12,TLT,115.3307876586914
2021-03-15,GLD,162.1999969482422
2021-03-15,QQQ,309.011962890625
2021-03-15,SPY,369.03155517578125
2021-03-15,TLT,116.00887298583984
2021-03-16,GLD,162.35000610351562
2021-03-16,QQQ,310.7080383300781
2021-03-16,SPY,368.5660400390625
2021-03-16,TLT,115.54267883300781
2021-03-17,GLD,163.50999450683594
2021-03-17,QQQ,311.9874267578125
2021-03-17,SPY,369.82281494140625
2021-03-17,TLT,114.67809295654297
2021-03-18,GLD,162.55999755859375
2021-03-18,QQQ,302.4310607910156
2021-03-18,SPY,364.4420471191406
2021-03-18,TLT,113.51686096191406
2021-03-19,GLD,163.24000549316406
2021-03-19,QQQ,303.49713134765625
2021-03-19,SPY,363.7676696777344
2021-03-19,TLT,114.2203598022461
2021-03-22,GLD,163.0
2021-03-22,QQQ,309.1887512207031
2021-03-22,SPY,366.67236328125
2021-03-22,TLT,115.50029754638672
2021-03-23,GLD,161.80999755859375
2021-03-23,QQQ,307.8398742675781
2021-03-23,SPY,363.786376953125
2021-03-23,TLT,116.54293823242188
2021-03-24,GLD,162.3699951171875
2021-03-24,QQQ,302.6481018066406
2021-03-24,SPY,361.9370422363281
2021-03-24,TLT,117.17020416259766
2021-03-25,GLD,161.77999877929688
2021-03-25,QQQ,302.1240234375
2021-03-25,SPY,363.9731750488281
2021-03-25,TLT,116.24624633789062
2021-03-26,GLD,162.24000549316406
2021-03-26,QQQ,306.6559143066406
2021-03-26,SPY,369.8385925292969
